Date,Inflation_YoY_pct
1979-12-01,9.9
1980-12-01,19.71
1981-12-01,12.77
1982-12-01,5.18
1983-12-01,3.76
1984-12-01,0.88
1985-12-01,2.48
1986-12-01,1.9
1987-12-01,2.4
1988-12-01,3.9
1989-12-01,5.3
1990-12-01,5.93
1991-12-01,5.7
1992-12-01,4.1
1993-12-01,3.52
1994-12-01,5.0
1995-12-01,5.71
1996-12-01,5.95
1997-12-01,5.61
1998-12-01,7.89
1999-12-01,0.3
2000-12-01,1.6
2001-12-01,1.6
2002-12-01,0.7
2003-12-01,1.8
2004-12-01,2.7
2005-12-01,4.5
2006-12-01,4.7
2007-12-01,2.3
2008-12-01,5.5
2009-12-01,-0.9
2010-12-01,3.3
2011-12-01,3.81
2012-12-01,3.01
2013-12-01,2.18
2014-12-01,1.9
2015-12-01,-0.9
2016-12-01,0.18
2017-12-01,0.67
2018-12-01,1.07
2019-12-01,0.7
2020-12-01,-0.85
2021-12-01,1.23
2022-12-01,6.08
2023-12-01,1.23
